!IPSummaryDump 1.3
!creator "ipsumdump -tL -r tcp2_enp132s0f0np0_2911.pcap"
!host inetlab-04
!runtime 1543576359.238223939 (Fri Nov 30 12:12:39 2018)
!data timestamp payload_len
1543522121.564747 1448
1543522121.564848 0
1543522121.565958 1448
1543522121.567170 1448
1543522121.567214 0
1543522121.568381 1448
1543522121.569592 1448
1543522121.569691 0
1543522121.570804 1448
1543522121.572014 1448
1543522121.572112 0
1543522121.573226 1448
1543522121.574437 1448
1543522121.574538 0
1543522121.575648 1448
1543522121.576862 1448
1543522121.576959 0
1543522121.578071 1448
1543522121.579281 1448
1543522121.579329 0
1543522121.580495 1448
1543522121.581704 1448
1543522121.581805 0
1543522121.582919 1448
1543522121.584128 1448
1543522121.584186 0
1543522121.585339 1448
1543522121.586549 1448
1543522121.586650 0
1543522121.587760 1448
1543522121.588971 1448
1543522121.589070 0
1543522121.590183 1448
1543522121.591394 1448
1543522121.591495 0
1543522121.592605 1448
1543522121.593817 1448
1543522121.593860 0
1543522121.595027 1448
1543522121.596238 1448
1543522121.596336 0
1543522121.597449 1448
1543522121.598661 1448
1543522121.598761 0
1543522121.599872 1448
1543522121.601084 1448
1543522121.601185 0
1543522121.602294 1448
1543522121.602395 0
1543522121.603508 1448
1543522121.604717 1448
1543522121.604767 0
1543522121.605928 1448
1543522121.607141 1448
1543522121.607184 0
1543522121.608351 1448
1543522121.609562 1448
1543522121.609609 0
1543522121.610774 1448
1543522121.611984 1448
1543522121.612082 0
1543522121.613195 1448
1543522121.614407 1448
1543522121.614507 0
1543522121.615617 1448
1543522121.616829 1448
1543522121.616929 0
1543522121.618040 1448
1543522121.619251 1448
1543522121.619298 0
1543522121.620463 1448
1543522121.621673 1448
1543522121.621776 0
1543522121.622885 1448
1543522121.624096 1448
1543522121.624142 0
1543522121.625308 1448
1543522121.626518 1448
1543522121.626618 0
1543522121.627730 1448
1543522121.628941 1448
1543522121.629038 0
1543522121.630152 1448
1543522121.631363 1448
1543522121.631412 0
1543522121.632574 1448
1543522121.633786 1448
1543522121.633829 0
1543522121.634997 1448
1543522121.636208 1448
1543522121.636309 0
1543522121.637419 1448
1543522121.638630 1448
1543522121.638730 0
1543522121.639842 1448
1543522121.641055 1448
1543522121.641159 0
1543522121.642264 1448
1543522121.643476 1448
1543522121.643575 0
1543522121.644686 1448
1543522121.645897 1448
1543522121.645942 0
1543522121.647110 1448
1543522121.648320 1448
1543522121.648421 0
1543522121.649531 1448
1543522121.650743 1448
1543522121.650789 0
1543522121.651953 1448
1543522121.653165 1448
1543522121.653263 0
1543522121.654376 1448
1543522121.655587 1448
1543522121.655683 0
1543522121.656799 1448
1543522121.658009 1448
1543522121.658059 0
1543522121.659221 1448
1543522121.660433 1448
1543522121.660479 0
1543522121.661643 1448
1543522121.662854 1448
1543522121.662901 0
1543522121.664066 1448
1543522121.665277 1448
1543522121.665377 0
1543522121.666488 1448
1543522121.667702 1448
1543522121.667802 0
1543522121.668910 1448
1543522121.670122 1448
1543522121.670222 0
1543522121.671333 1448
1543522121.672544 1448
1543522121.672588 0
1543522121.673756 1448
1543522121.673800 0
1543522121.674967 1448
1543522121.675067 0
1543522121.676177 1448
1543522121.677389 1448
1543522121.677439 0
1543522121.678600 1448
1543522121.679811 1448
1543522121.679910 0
1543522121.681023 1448
1543522121.682233 1448
1543522121.682332 0
