!IPSummaryDump 1.3
!creator "ipsumdump -tL -r tcp1_enp132s0f0np0-1.pcap"
!host inetlab-04
!runtime 1542919806.930580605 (Thu Nov 22 21:50:06 2018)
!data timestamp payload_len
1542724497.983639 23168
1542724497.984994 0
1542724497.988484 11584
1542724497.989789 0
1542724497.990906 13032
1542724497.992241 0
1542724497.993630 34752
1542724497.995011 0
1542724498.000899 36200
1542724498.002284 0
1542724498.008469 46336
1542724498.009825 0
1542724498.018161 13032
1542724498.019459 0
1542724498.020920 11584
1542724498.022206 0
1542724498.023332 11584
1542724498.024629 0
1542724498.025728 11584
1542724498.026982 0
1542724498.028150 47784
1542724498.028285 0
1542724498.038182 47784
1542724498.038341 0
1542724498.048138 5792
1542724498.049346 5792
1542724498.049438 0
1542724498.050595 0
1542724498.050599 5792
1542724498.051768 11584
1542724498.051879 0
1542724498.053090 0
1542724498.054191 5792
1542724498.055401 5792
1542724498.055467 0
1542724498.056614 17376
1542724498.056674 0
1542724498.057933 0
1542724498.060248 30408
1542724498.061619 0
1542724498.066645 23168
1542724498.067996 0
1542724498.071453 30408
1542724498.072782 0
1542724498.077849 5792
1542724498.079020 11584
1542724498.079135 0
1542724498.080282 0
1542724498.081442 23168
1542724498.082762 0
1542724498.086288 5792
1542724498.087498 24616
1542724498.087582 0
1542724498.088839 0
1542724498.092647 23168
1542724498.093945 0
1542724498.097531 11584
1542724498.098830 0
1542724498.099913 36200
1542724498.101284 0
1542724498.107523 23168
1542724498.108870 0
1542724498.112331 5792
1542724498.113540 30408
1542724498.113623 0
1542724498.114862 0
1542724498.119902 5792
1542724498.121109 17376
1542724498.121196 0
1542724498.122473 0
1542724498.124745 30408
1542724498.126131 0
1542724498.131103 34752
1542724498.132483 0
1542724498.138407 47784
1542724498.138593 0
1542724498.148367 5792
1542724498.149572 5792
1542724498.149657 0
1542724498.150784 11584
1542724498.150820 0
1542724498.152096 0
1542724498.153206 36200
1542724498.154530 0
1542724498.160807 17376
1542724498.162157 0
1542724498.164412 5792
1542724498.165620 11584
1542724498.165704 0
1542724498.166984 0
1542724498.168051 5792
1542724498.169254 7240
1542724498.169334 0
1542724498.170571 0
1542724498.170769 17376
1542724498.172134 0
1542724498.174441 47784
1542724498.174610 0
1542724498.184396 5792
1542724498.185605 5792
1542724498.185691 0
1542724498.186818 5792
1542724498.186898 0
1542724498.188027 11584
1542724498.188110 0
1542724498.189344 0
1542724498.190451 11584
1542724498.191745 0
1542724498.192873 30408
1542724498.194201 0
1542724498.199270 28960
1542724498.200549 0
1542724498.205290 30408
1542724498.205460 0
1542724498.211651 17376
1542724498.212988 0
1542724498.215320 5792
1542724498.216492 17376
1542724498.216604 0
1542724498.217805 0
1542724498.220126 11584
1542724498.221415 0
1542724498.222547 47784
1542724498.222708 0
1542724498.232541 47784
1542724498.232684 0
1542724498.242572 5792
1542724498.243743 5792
1542724498.243816 0
1542724498.244956 4344
1542724498.245033 0
1542724498.245863 11584
1542724498.245969 0
1542724498.247166 0
1542724498.248285 43440
1542724498.249617 0
1542724498.257411 5792
1542724498.258580 11584
1542724498.258695 0
1542724498.259891 0
1542724498.261002 47784
1542724498.261162 0
1542724498.271034 5792
1542724498.272206 4344
1542724498.272316 0
1542724498.273118 11584
1542724498.273224 0
1542724498.274374 0
1542724498.275537 5792
1542724498.276750 14480
1542724498.276814 0
1542724498.278080 0
1542724498.279777 28960
1542724498.281115 0
1542724498.285873 17376
1542724498.287231 0
1542724498.289469 5792
1542724498.290677 5792
1542724498.290750 0
1542724498.291888 5792
1542724498.291960 0
1542724498.293101 18824
1542724498.293171 0
1542724498.294485 0
1542724498.297076 28960
1542724498.298479 0
1542724498.303095 30408
1542724498.304435 0
1542724498.309452 5792
1542724498.310663 5792
1542724498.310694 0
1542724498.311873 5792
1542724498.311952 0
1542724498.313084 23168
1542724498.313158 0
1542724498.314462 0
1542724498.317931 18824
1542724498.319279 0
1542724498.321868 46336
1542724498.323219 0
1542724498.331556 5792
1542724498.332766 7240
1542724498.332841 0
1542724498.334075 0
1542724498.334280 11584
1542724498.335588 0
1542724498.336703 17376
1542724498.338063 0
1542724498.340376 11584
1542724498.341683 0
1542724498.342759 24616
1542724498.344026 0
1542724498.347908 28960
1542724498.349310 0
1542724498.353966 11584
1542724498.355267 0
1542724498.356392 11584
1542724498.357692 0
1542724498.358846 36200
1542724498.360214 0
1542724498.366378 40544
1542724498.367769 0
1542724498.374857 47784
1542724498.375033 0
1542724498.384888 11584
1542724498.386191 0
1542724498.387271 13032
1542724498.388595 0
